address1,city,state,zip,country,phone,fax,website,industry,industryDisp,sector,fullTimeEmployees,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio,address2,industrySymbol
56 Top Gallant Road,Stamford,CT,06902-7700,United States,203 964 0096,,https://www.gartner.com,Information Technology Services,Information Technology Services,Technology,19500.0,4.0,2.0,4.0,2.0,1.0,1685577600.0,1672444800.0,86400,2,353.36,353.21,349.11,353.21,353.36,353.21,349.11,353.21,,,932342400.0,0.0,,1.271478,30.237274,31.486973,375369,375369,535920,564480,564480,0.0,0.0,1400,800,27706787840,231.05,363.12,4.9283013,324.3354,322.2372,0.0,0.0,USD,30418636800.0,0.16561002,76498476.0,79060600.0,2091452.0,1874117.0,1682640000.0,1685491200.0,0.026500002,0.03186,0.93349,3.47,0.031,0.0,5.948,58.91897,1672444800.0,1703980800.0,1680220800.0,0.715,931067008.0,11.59,11.13,7.69,2:1,828316800.0,5.411,22.563,0.45348597,0.15015817,1.195,932342400.0,NYQ,EQUITY,IT,IT,"Gartner, Inc.","Gartner, Inc.",749827800,America/New_York,EDT,cd32106b-cb6d-3321-930c-f34574ea388c,finmb_130705,-14400000,350.45,407.0,318.0,364.63,367.0,2.2,buy,10.0,899420992.0,11.379,1348164992.0,3136406016.0,0.708,0.841,5621975040.0,663.287,70.685,0.10421,3.15076,3782075000.0,879315648.0,1098316032.0,0.769,0.116,0.68838996,0.23979999,0.21301001,USD,,PO Box 10212,
155 Harlem Avenue,Glenview,IL,60025-4075,United States,847 724 7500,,https://www.itw.com,Specialty Industrial Machinery,Specialty Industrial Machinery,Industrials,46000.0,3.0,8.0,4.0,3.0,3.0,1685577600.0,1672444800.0,86400,2,244.06,242.74,241.46,246.42,244.06,242.74,241.46,246.42,5.24,0.0211,1687996800.0,0.5155,2.33,1.117957,24.517517,23.641891,966735,966735,1102782,1142710,1142710,0.0,0.0,800,1300,74434961408,173.52,253.37,4.6486983,232.5646,222.83215,5.15,0.021101369,USD,82602852352.0,0.19273001,276691326.0,303903008.0,5860620.0,5959361.0,1682640000.0,1685491200.0,0.019299999,0.0032300001,0.8223,4.69,0.019299999,0.0,10.201,24.01039,1672444800.0,1703980800.0,1680220800.0,0.079,3086000128.0,9.99,10.36,6.24,2:1,1148601600.0,5.159,19.174,0.35996664,0.15015817,1.31,1680134400.0,NYQ,EQUITY,ITW,ITW,Illinois Tool Works Inc.,Illinois Tool Works Inc.,100881000,America/New_York,EDT,1d762317-e768-376b-8b0c-6080b1a6db53,finmb_280561,-14400000,244.93,281.0,186.0,237.33,239.5,3.0,hold,18.0,1143000064.0,3.761,4307999744.0,8380000256.0,0.776,1.195,16012000256.0,270.235,52.033,0.15156001,0.92353994,6503000000.0,2072249984.0,2752999936.0,0.104,0.02,0.41213,0.26905,0.24388,USD,3.0024,,
Midtown Union,Atlanta,GA,30309,United States,404 892 0896,404 439 4911,https://www.invesco.com,Asset Management,Asset Management,Financial Services,8561.0,10.0,2.0,7.0,1.0,4.0,1685577600.0,1672444800.0,86400,2,16.54,16.58,16.43,16.64,16.54,16.58,16.43,16.64,0.8,0.0477,1683504000.0,0.5435,5.49,1.349295,11.963768,8.466666,3240595,3240595,4715762,5529620,5529620,0.0,0.0,2900,1400,7564369920,13.2,20.56,1.2957791,16.0686,16.93055,0.762,0.046070132,USD,13738573824.0,0.14869,334527430.0,458168992.0,10711078.0,11406027.0,1682640000.0,1685491200.0,0.0234,0.01518,0.86084,2.42,0.033800002,0.0,24.734,0.6675022,1672444800.0,1703980800.0,1680220800.0,-0.205,631200000.0,1.38,1.95,0.85,25:10,973641600.0,2.353,10.03,-0.010784924,0.15015817,0.2,1683504000.0,NYQ,EQUITY,IVZ,IVZ,Invesco Ltd,Invesco Ltd.,809357400,America/New_York,EDT,1481a787-6114-3700-8c31-771abf6fd77e,finmb_384779,-14400000,16.51,21.0,15.0,17.75,17.5,2.8,hold,12.0,914899968.0,1.997,1369699968.0,1488099968.0,0.905,6.046,5837700096.0,8.852,12.77,0.02389,0.050819997,1897800000.0,2343012608.0,979699968.0,-0.264,-0.13,0.29323,0.23462999,0.20164,USD,2.821,"1331 Spring Street, North West",
1999 Bryan Street,Dallas,TX,75201,United States,214 583 8500,,https://www.jacobs.com,Engineering & Construction,Engineering & Construction,Industrials,60000.0,8.0,7.0,2.0,9.0,8.0,1685577600.0,1672444800.0,86400,2,115.5,115.13,114.285,115.43,115.5,115.13,114.285,115.43,1.04,0.009,1684972800.0,0.1573,0.75,0.835563,19.036425,13.70441,757498,757498,624225,924100,924100,0.0,0.0,1100,800,14585212928,106.78,138.05,0.9358409,115.2126,118.18215,0.95,0.0082251085,USD,18335639552.0,0.04962,125506658.0,126850000.0,1298045.0,1533543.0,1682640000.0,1685491200.0,0.010199999,0.0093,0.87361,1.88,0.0116,0.0,50.311,2.285385,1664496000.0,1696032000.0,1680220800.0,1.438,773932032.0,6.04,8.39,1.56,2:1,1174003200.0,1.176,13.554,-0.05969906,0.15015817,0.26,1684972800.0,NYQ,EQUITY,J,J,Jacobs Solutions Inc.,Jacobs Solutions Inc.,322151400,America/New_York,EDT,ff44570a-ca82-3191-8870-afbc310cdb85,finmb_282159,-14400000,114.98,175.0,128.0,149.88,150.0,1.7,buy,16.0,1223330944.0,9.644,1352763008.0,4193401088.0,1.477,1.528,15585141760.0,59.112,122.309,0.04404,0.12009,3328324000.0,32866000.0,462792000.0,1.499,0.064,0.216,0.0868,0.06824,USD,1.1149,Suite 1200,
615 J.B. Hunt Corporate Drive,Lowell,AR,72745-0130,United States,479 820 0000,,https://www.jbhunt.com,Integrated Freight & Logistics,Integrated Freight & Logistics,Industrials,37151.0,10.0,10.0,4.0,8.0,9.0,1685577600.0,1672444800.0,86400,2,173.94,172.33,172.0005,176.635,173.94,172.33,172.0005,176.635,1.68,0.0095,1683763200.0,0.1839,0.84,1.129577,19.995466,18.447699,642437,642437,695475,691530,691530,176.22,176.29,1000,800,18279360512,154.04,200.64,1.255882,173.5336,175.7541,1.62,0.009313556,USD,19840772096.0,0.06347,82054799.0,103648000.0,3093475.0,2615100.0,1682640000.0,1685491200.0,0.0298,0.20899999,0.75588,5.0,0.0372,0.0,36.637,4.8137126,1672444800.0,1703980800.0,1680220800.0,-0.187,923793984.0,8.82,9.56,3.12,2:1,1116892800.0,1.363,10.194,0.11974609,0.15015817,0.42,1683763200.0,NMS,EQUITY,JBHT,JBHT,"J.B. Hunt Transport Services, I","J.B. Hunt Transport Services, Inc.",438359400,America/New_York,EDT,431e65f3-2920-3b7b-8f7c-1474e825d70f,finmb_278576,-14400000,176.36,210.0,162.0,189.02,193.0,2.2,buy,23.0,52604000.0,0.508,1946317056.0,1580894976.0,0.843,1.167,14554998784.0,41.631,140.156,0.1075,0.26203,2577787000.0,27576000.0,1972717952.0,-0.175,-0.074,0.17846,0.13372,0.08758,USD,3.2872,,
One Albert Quay,Cork,,T12 X8N6,Ireland,353 21 423 5000,,https://www.johnsoncontrols.com,Building Products & Equipment,Building Products & Equipment,Industrials,102000.0,5.0,4.0,5.0,7.0,5.0,1685577600.0,1672444800.0,86400,2,65.7,65.63,65.27,66.51,65.7,65.63,65.27,66.51,1.48,0.0226,1686873600.0,0.70849997,2.4,1.234859,33.407036,16.374386,3379251,3379251,3897745,3077350,3077350,0.0,0.0,1200,1400,45611864064,45.52,69.6,1.7480497,61.2312,61.22815,1.41,0.021461187,USD,55951888384.0,0.05331,684150308.0,686099008.0,6460908.0,8370005.0,1682640000.0,1685491200.0,0.0094,0.00264,0.9325,1.51,0.0094,0.0,23.16,2.8704665,1664496000.0,1696032000.0,1680220800.0,11.091,1391000064.0,1.99,4.06,1.17,955:1000,1473120000.0,2.144,16.838,0.40223587,0.15015817,0.37,1686873600.0,NYQ,EQUITY,JCI,JCI,Johnson Controls International ,Johnson Controls International plc,559834200,America/New_York,EDT,2fdf4383-c8a2-3c13-bcc8-cc7493c92ecd,finmb_282590,-14400000,66.48,80.0,58.0,71.56,72.0,2.1,buy,18.0,1975000064.0,2.879,3323000064.0,11820000256.0,0.644,1.028,26093000704.0,69.212,37.89,0.03639,0.09101,8343000000.0,1108499968.0,1684000000.0,11.076,0.096,0.33828998,0.12735,0.096420005,USD,1.048,,
663 West Highway 60,Monett,MO,65708,United States,417 235 6652,,https://www.jackhenry.com,Information Technology Services,Information Technology Services,Technology,6847.0,4.0,5.0,3.0,8.0,5.0,1685577600.0,1672444800.0,86400,2,163.76,162.89,162.045,164.78,163.76,162.89,162.045,164.78,2.08,0.0127,1684972800.0,0.4163,1.07,0.636267,34.366108,30.87782,462461,462461,727395,552580,552580,160.57,165.31,800,1000,11971225600,139.28,212.62,5.9095535,155.109,171.4554,1.99,0.0121519305,USD,12327603200.0,0.17243,72376838.0,72875296.0,3421276.0,3175837.0,1682640000.0,1685491200.0,0.0469,0.0078100003,0.94934,4.02,0.060599998,0.0,21.111,7.7812514,1656547200.0,1688083200.0,1680220800.0,-0.037,349299008.0,4.78,5.32,4.66,2:1,983750400.0,6.085,22.732,-0.07578486,0.15015817,0.52,1684972800.0,NMS,EQUITY,JKHY,JKHY,"Jack Henry & Associates, Inc.","Jack Henry & Associates, Inc.",501345000,America/New_York,EDT,97b718c2-79a7-3a4b-96f0-79c179e9ebc0,finmb_277617,-14400000,164.27,186.0,156.0,172.04,174.22,2.6,hold,12.0,26552000.0,0.364,542297024.0,420095008.0,0.907,1.523,2025741056.0,27.309,27.782,0.1179,0.24367,814270000.0,267216000.0,410264992.0,-0.036,0.063,0.4091,0.26770002,0.22721,USD,3.1092,PO Box 807,
One Johnson & Johnson Plaza,New Brunswick,NJ,08933,United States,732 524 0400,,https://www.jnj.com,Drug Manufacturers—General,Drug Manufacturers—General,Healthcare,152700.0,10.0,5.0,3.0,2.0,4.0,1685577600.0,1672444800.0,86400,2,164.13,163.58,162.69,164.92,164.13,163.58,162.69,164.92,4.76,0.029000001,1684713600.0,0.9476,2.61,0.541197,34.28452,14.898182,7106575,7106575,6886093,7360000,7360000,0.0,0.0,1000,1000,425879896064,150.11,183.35,4.424129,160.9132,165.21495,4.52,0.027539145,USD,454824230912.0,0.13218,2595433683.0,2598729984.0,14765679.0,12739987.0,1682640000.0,1685491200.0,0.0057,0.00096000003,0.71728,2.46,0.0057,0.0,27.275,6.008433,1672531200.0,1704067200.0,1680393600.0,,12723999744.0,4.78,11.0,3.55,2:1,992390400.0,4.725,13.74,-0.08783257,0.15015817,1.19,1684713600.0,NYQ,EQUITY,JNJ,JNJ,Johnson & Johnson,Johnson & Johnson,-252322200,America/New_York,EDT,73aa25b0-87c8-3616-a460-03cbef1b4753,finmb_139677,-14400000,163.88,215.0,161.0,179.71,177.0,2.4,buy,21.0,24612999168.0,9.471,33101000704.0,52906999808.0,0.678,1.067,96262995968.0,74.655,36.752,0.086890005,0.17481,63954000000.0,13505874944.0,20472000512.0,,0.056,0.66980004,0.34386003,0.2703,USD,1.4376,,
1133 Innovation Way,Sunnyvale,CA,94089,United States,408 745 2000,408 745 2100,https://www.juniper.net,Communication Equipment,Communication Equipment,Technology,10901.0,5.0,7.0,6.0,5.0,6.0,1685577600.0,1672444800.0,86400,2,31.5,31.33,30.715,31.34,31.5,31.33,30.715,31.34,0.88,0.0279,1685491200.0,0.5592,2.89,0.942253,20.263157,11.937984,5846003,5846003,4039533,3962140,3962140,0.0,0.0,1100,2200,9905033216,25.18,34.53,1.7993449,30.5282,30.56785,0.85,0.026984127,USD,10826351616.0,0.090959996,317327795.0,321592000.0,7918906.0,8637108.0,1682640000.0,1685491200.0,0.024600001,0.012990001,0.91788,1.91,0.0327,0.0,13.8,2.231884,1672444800.0,1703980800.0,1680220800.0,0.533,500700000.0,1.52,2.58,1.17,2:1,961113600.0,1.967,13.567,0.091424465,0.15015817,0.22,1685491200.0,NYQ,EQUITY,JNPR,JNPR,"Juniper Networks, Inc.","Juniper Networks, Inc.",930317400,America/New_York,EDT,708b7702-521b-3f42-b478-ea8e55d61f0c,finmb_30439,-14400000,30.8,42.0,29.0,36.19,37.5,2.6,hold,15.0,1098400000.0,3.416,798000000.0,1794599936.0,1.041,1.764,5504799744.0,40.463,17.084,0.04045,0.11508001,2958300000.0,14087500.0,96000000.0,0.529,0.174,0.55953,0.14496,0.10667,USD,,,
383 Madison Avenue,New York,NY,10179,United States,212 270 6000,,https://www.jpmorganchase.com,Banks—Diversified,Banks—Diversified,Financial Services,296877.0,10.0,3.0,8.0,3.0,6.0,1685577600.0,1672444800.0,86400,2,142.53,142.9,141.691,144.02,142.53,142.9,141.691,144.02,4.0,0.0279,1688515200.0,0.295,2.8,1.086267,10.487842,10.172981,9565442,9565442,11603820,8977230,8977230,0.0,0.0,800,800,415900336128,101.28,144.34,3.2208877,138.0314,131.43915,4.0,0.028064268,USD,-322498953216.0,0.32539,2896660039.0,2922289920.0,17187232.0,18681417.0,1682640000.0,1685491200.0,0.0058999998,0.00897,0.71988,1.61,0.0058999998,0.0,94.336,1.5086501,1672444800.0,1703980800.0,1680220800.0,0.524,40240001024.0,13.57,13.99,-2.26,3:2,960768000.0,-2.498,,0.24929774,0.15015817,1.0,1680652800.0,NYQ,EQUITY,JPM,JPM,JP Morgan Chase & Co.,JPMorgan Chase & Co.,322151400,America/New_York,EDT,bc753df4-b894-3e19-9c58-995ef66d8e67,finmb_658776,-14400000,142.32,193.0,140.0,160.65,159.0,2.1,buy,24.0,1420403015680.0,486.058,,651852972032.0,,,129125998592.0,,43.57,0.01091,0.14267,122306000000.0,,37795000320.0,0.559,0.233,0.0,0.0,0.40575,USD,2.9966,,
1617 Sixth Avenue,Seattle,WA,98101,United States,206 628 2111,,https://press.nordstrom.com,Department Stores,Department Stores,Consumer Cyclical,60000.0,4.0,1.0,3.0,2.0,1.0,1685577600.0,1672444800.0,86400,2,18.93,18.82,18.44,18.95,18.93,18.82,18.44,18.95,0.76,0.0401,1685059200.0,6.9090996,,2.230633,167.90909,9.009756,3317453,3317453,5130709,5004900,5004900,0.0,0.0,1100,900,2982793984,14.03,27.43,0.19698812,16.5398,18.2084,0.76,0.04014791,USD,6988077568.0,0.00132,97584239.0,161494000.0,22770825.0,21632628.0,1682640000.0,1685491200.0,0.141,0.29358,0.64099,5.09,0.176,0.0,3.414,5.4100757,1674864000.0,1706400000.0,1682726400.0,,20000000.0,0.11,2.05,0.72,2:1,1120176000.0,0.462,6.251,-0.19835067,0.15015817,0.19,1685059200.0,NYQ,EQUITY,JWN,JWN,"Nordstrom, Inc.","Nordstrom, Inc.",322151400,America/New_York,EDT,e047eab7-a971-3544-bbdb-fb89756f34f3,finmb_32215,-14400000,18.47,23.0,12.0,18.21,18.5,3.0,hold,14.0,581000000.0,3.598,1118000000.0,4512000000.0,0.235,0.961,15141999616.0,818.875,94.475,0.03625,0.03509,5511000000.0,536375008.0,775000000.0,,-0.109,0.35834,0.07383,0.03447,USD,0.4998,,
One Kellogg Square,Battle Creek,MI,49016-3599,United States,269 961 2000,,https://www.kelloggcompany.com,Packaged Foods,Packaged Foods,Consumer Defensive,30000.0,4.0,8.0,4.0,8.0,7.0,1685577600.0,1672444800.0,86400,2,65.56,65.58,64.98,65.81,65.56,65.58,64.98,65.81,2.36,0.036,1685491200.0,0.97110003,3.52,0.419014,26.958675,15.13689,3012562,3012562,2198438,2874930,2874930,0.0,0.0,1200,800,22361532416,63.74,77.17,1.4246644,68.197,69.55765,2.35,0.035845026,USD,30026242048.0,0.053260002,338223727.0,342758016.0,10539604.0,9729986.0,1682640000.0,1685491200.0,0.0307,0.068390004,0.87535006,4.17,0.0376,0.0,11.822,5.5185246,1672444800.0,1703980800.0,1680307200.0,-0.294,836000000.0,2.42,4.31,4.79,2:1,872467200.0,1.913,15.438,-0.0588575,0.15015817,0.59,1685491200.0,NYQ,EQUITY,K,K,Kellogg Company,Kellogg Company,99153000,America/New_York,EDT,a5f3c6a1-1b03-339d-86af-9fb43c97c188,finmb_283356,-14400000,65.24,79.0,62.0,71.94,72.55,3.2,hold,16.0,356000000.0,1.039,1944999936.0,7484000256.0,0.363,0.721,15696000000.0,167.091,45.876,0.04934,0.19147,4625000000.0,788499968.0,1600000000.0,-0.301,0.104,0.29764998,0.12392,0.09365,USD,2.5372,,
127 Public Square,Cleveland,OH,44114-1306,United States,216 689 3000,,https://www.key.com,Banks—Regional,Banks—Regional,Financial Services,18220.0,3.0,5.0,1.0,2.0,1.0,1685577600.0,1672444800.0,86400,2,9.85,9.82,9.68,9.925,9.85,9.82,9.68,9.925,0.82,0.0832,1685059200.0,0.45200002,4.2,1.253521,5.5593224,5.72093,10142604,10142604,23658045,20186970,20186970,0.0,0.0,1100,4000,9202998272,8.54,20.3,1.3727623,10.437,15.4139,0.8,0.08121827,USD,44895354880.0,0.26566,931149278.0,935264000.0,33998103.0,30771533.0,1682640000.0,1685491200.0,0.0364,0.00324,0.83769,1.36,0.0414,0.0,12.641,0.77841944,1672444800.0,1703980800.0,1680220800.0,-0.304,1648000000.0,1.77,1.72,-3.23,2:1,889401600.0,6.697,,-0.4211765,0.15015817,0.205,1685059200.0,NYQ,EQUITY,KEY,KEY,KeyCorp,KeyCorp,563121000,America/New_York,EDT,3b5949e0-c26b-3776-ba47-52a276de9570,finmb_329376,-14400000,9.84,38.0,11.0,15.07,14.75,2.5,buy,20.0,2299000064.0,2.458,,35482001408.0,,,6704000000.0,,7.246,0.00937,0.11981,6743000000.0,,4305999872.0,-0.34,-0.024,0.0,0.0,0.32786,USD,5.075,,
1400 Fountaingrove Parkway,Santa Rosa,CA,95403-1738,United States,800 829 4444,,https://www.keysight.com,Scientific & Technical Instruments,Scientific & Technical Instruments,Technology,15000.0,2.0,4.0,3.0,10.0,6.0,1685577600.0,1672444800.0,86400,2,162.58,161.61,160.88,162.235,162.58,161.61,160.88,162.235,,,,0.0,,1.067253,25.024845,18.76135,1159148,1159148,1119550,1014730,1014730,0.0,0.0,800,900,28745787392,133.34,189.45,5.142359,153.963,165.151,0.0,0.0,USD,28270747648.0,0.21109,177358195.0,178368000.0,3042752.0,4313252.0,1682640000.0,1685491200.0,0.0171,0.00564,0.88797,2.36,0.022,0.0,26.41,6.1022344,1667174400.0,1698710400.0,1682812800.0,0.097,1180000000.0,6.44,8.59,2.37,,,5.057,17.031,0.17703772,0.15015817,,,NYQ,EQUITY,KEYS,KEYS,Keysight Technologies Inc.,"Keysight Technologies, Inc.",1413811800,America/New_York,EDT,48fb38e1-f876-3a3d-89c8-cd6cad73c243,finmb_247017859,-14400000,161.16,208.0,163.0,185.75,185.5,2.1,buy,12.0,2497999872.0,14.005,1660000000.0,2023000064.0,2.364,3.35,5590000128.0,42.997,31.404,0.10935,0.27817,3450000000.0,794249984.0,1411000064.0,0.121,0.029,0.64025,0.29696,0.25778,USD,2.0772,,
One PPG Place,Pittsburgh,PA,15222,United States,412 456 5700,,https://www.kraftheinzcompany.com,Packaged Foods,Packaged Foods,Consumer Defensive,37000.0,9.0,6.0,1.0,3.0,4.0,1685577600.0,1672444800.0,86400,2,36.62,36.5,36.0,36.61,36.62,36.5,36.0,36.61,1.6,0.0437,1685923200.0,0.8163,4.9,0.688028,18.40306,11.943708,8109687,8109687,6852925,8319320,8319320,36.07,36.15,2900,2900,44266545152,32.73,42.8,1.6438243,38.829,38.4123,1.6,0.043691974,USD,64494436352.0,0.08998,800944272.0,1227239936.0,11958861.0,17389970.0,1682640000.0,1685491200.0,0.0097,0.013940001,0.81819,1.48,0.013300001,0.0,40.059,0.9004219,1672444800.0,1703980800.0,1680307200.0,0.077,2423000064.0,1.96,3.02,2.72,,,2.395,10.719,-0.047027767,0.15015817,0.4,1685923200.0,NMS,EQUITY,KHC,KHC,The Kraft Heinz Company,The Kraft Heinz Company,1436189400,America/New_York,EDT,aa94f7c2-b9a7-3327-84d9-2c52fccdd6df,finmb_278212,-14400000,36.07,50.0,37.5,44.97,44.5,2.7,hold,18.0,826000000.0,0.673,6016999936.0,20178999296.0,0.348,0.918,26929000448.0,40.887,21.96,0.03439,0.04887,8235000000.0,1603250048.0,2468999936.0,0.079,0.073,0.31019,0.22343999,0.18879,USD,1.6315,,
500 North Broadway,Jericho,NY,11753-2128,United States,(516) 869-9000,(516) 869-9001,https://www.kimcorealty.com,REIT—Retail,REIT—Retail,Real Estate,639.0,2.0,9.0,1.0,7.0,4.0,1685577600.0,1672444800.0,86400,2,19.23,19.16,18.985,19.22,19.23,19.16,18.985,19.22,0.92,0.0478,1686096000.0,3.52,5.26,1.444718,76.4,29.384617,3149148,3149148,4289617,3962520,3962520,0.0,0.0,4000,3100,11839936512,17.34,23.89,6.7915754,18.7512,20.18965,0.88,0.04576183,USD,19081846784.0,0.10235,601505818.0,619891968.0,14925120.0,14003135.0,1682640000.0,1685491200.0,0.0241,0.0224,0.96749,3.26,0.0296,0.0,15.572,1.2265606,1672444800.0,1703980800.0,1680220800.0,0.221,150734000.0,0.25,0.65,-0.93,2:1,1124841600.0,10.946,17.958,-0.02351737,0.15015817,0.23,1686096000.0,NYQ,EQUITY,KIM,KIM,Kimco Realty Corporation (HC),Kimco Realty Corporation,690820200,America/New_York,EDT,b43f3e15-9c9b-39f3-a639-60763c01483e,finmb_320371,-14400000,19.1,26.0,18.0,22.46,23.0,2.3,buy,17.0,329176992.0,0.531,1062558976.0,7264748032.0,3.034,3.053,1743326976.0,73.538,2.83,0.01977,0.01714,1196777000.0,896906624.0,1011795968.0,0.222,0.037,0.69022006,0.6095,0.33117,USD,5.8317,Suite 201,
One Technology Drive,Milpitas,CA,95035,United States,408 875 3000,408 875 4875,https://www.kla.com,Semiconductor Equipment & Materials,Semiconductor Equipment & Materials,Technology,14000.0,7.0,2.0,3.0,5.0,3.0,1685577600.0,1672444800.0,86400,2,464.45,460.93,455.43,464.29,464.45,460.93,455.43,464.29,5.2,0.0112,1683849600.0,0.2015,1.68,1.359154,18.591854,22.071083,871162,871162,1060164,1071110,1071110,452.67,456.47,1400,1400,62621741056,250.2,482.2,5.892337,413.5616,377.89185,4.95,0.010657767,USD,66953261056.0,0.33008,136928620.0,137199008.0,2538883.0,1908340.0,1682640000.0,1685491200.0,0.0185,0.0026800002,0.92666,2.46,0.0185,0.0,19.541,23.357555,1656547200.0,1688083200.0,1680220800.0,-0.045,3507996928.0,24.55,20.68,3.15,2:1,948240000.0,6.3,14.703,0.4234079,0.15015817,1.3,1683849600.0,NMS,EQUITY,KLAC,KLAC,KLA Corporation,KLA Corporation,339859800,America/New_York,EDT,ea2026dc-c4e6-3402-9cad-01bc16897d45,finmb_282225,-14400000,456.43,560.0,319.0,450.0,450.0,2.1,buy,19.0,2890209024.0,21.066,4553568256.0,6061072896.0,1.45,2.346,10627657728.0,225.925,74.675,0.20146999,1.03768,5619442000.0,2118633728.0,3529918976.0,0.041,0.063,0.60161,0.42846,0.38978,USD,1.9963,,
PO Box 619100,Dallas,TX,75261-9100,United States,972 281 1200,,https://www.kimberly-clark.com,Household & Personal Products,Household & Personal Products,Consumer Defensive,44000.0,1.0,5.0,7.0,4.0,3.0,1685577600.0,1672444800.0,86400,2,136.39,136.48,136.24,138.46,136.39,136.48,136.24,138.46,4.72,0.0346,1686182400.0,0.7979,3.29,0.42676,23.65582,19.595743,1275965,1275965,1661687,1583750,1583750,0.0,0.0,1100,1100,46609182720,108.74,147.87,2.29885,139.8564,130.8093,4.66,0.034166727,USD,54324400128.0,0.09751,336642182.0,337380992.0,5591598.0,5962966.0,1682640000.0,1685491200.0,0.0166,0.00244,0.7853,3.26,0.0166,0.0,2.131,64.82871,1672444800.0,1703980800.0,1680220800.0,0.082,1976999936.0,5.84,7.05,2.41,1043:1000,1414972800.0,2.679,15.477,0.04595697,0.15015817,1.18,1686182400.0,NYQ,EQUITY,KMB,KMB,Kimberly-Clark Corporation,Kimberly-Clark Corporation,322151400,America/New_York,EDT,319f9bda-f839-37ec-9524-26fad07b17fb,finmb_283857,-14400000,138.15,154.0,125.0,140.01,140.5,3.2,hold,18.0,524000000.0,1.553,3510000128.0,8691000320.0,0.416,0.825,20274999296.0,1009.408,60.07,0.09349,2.33353,6219000000.0,1982249984.0,3142000128.0,0.077,0.02,0.31689,0.17312,0.13593,USD,2.6522,,
1001 Louisiana Street,Houston,TX,77002,United States,713 369 9000,,https://www.kindermorgan.com,Oil & Gas Midstream,Oil & Gas Midstream,Energy,10525.0,9.0,10.0,5.0,7.0,9.0,1685577600.0,1672444800.0,86400,2,16.66,16.61,16.555,16.8,16.66,16.61,16.555,16.8,1.13,0.066300005,1682640000.0,0.98230004,5.77,0.918661,14.725663,13.983192,11709494,11709494,12437998,13443540,13443540,0.0,0.0,1400,800,37407051776,15.92,19.36,1.9902661,16.9396,17.61435,1.115,0.06692677,USD,70927278080.0,0.13621001,1958148404.0,2248019968.0,40479216.0,37997197.0,1682640000.0,1685491200.0,0.018099999,0.12656,0.64288,3.05,0.0207,0.0,13.724,1.2124745,1672444800.0,1703980800.0,1680220800.0,0.018,2547000064.0,1.13,1.19,-2.4,,,3.774,11.124,0.024630547,0.15015817,0.283,1682640000.0,NYQ,EQUITY,KMI,KMI,"Kinder Morgan, Inc.","Kinder Morgan, Inc.",1297434600,America/New_York,EDT,1f9d4e32-f8c8-3406-9619-fc743bc7b327,finmb_34952431,-14400000,16.64,23.0,18.0,20.33,20.0,2.7,hold,18.0,424000000.0,0.189,6376000000.0,31804000256.0,0.365,0.565,18794999808.0,99.035,8.342,0.03814,0.08286,7290000000.0,1621500032.0,5216000000.0,0.027,-0.094,0.39957002,0.33923998,0.22416,USD,3.969,Suite 1000,
